profile,target,case,logical_values,encoded_bytes,authored_ns_per_value,direct_ns_per_value,materialized_ns_per_value,authored_over_materialized,authored_vs_materialized,authored_over_direct,authored_vs_direct,fastest_measured_native_variant,fastest_measured_native_over_materialized,fastest_measured_native_vs_materialized,authored_samples,direct_samples,materialized_samples
gnr-avx2,avx2,composition/avx2/local/k12/h0/u16/all,8192.0,12288.0,0.41138292022178974,0.411684435638703,0.3081613619384369,1.3349594434359164,separated slower,0.9992676054987469,sample ranges overlap,authored-u64-carrier,1.0551893645489474,separated slower,"[0.411553895210816,0.41126145839584755,0.41138292022178974]","[0.4116972061015736,0.411684435638703,0.4111980488538156]","[0.3081613619384369,0.3081514085586155,0.308234480719178]"
gnr-avx2,avx2,composition/avx2/local/k12/h0/u16/prefilter75,8192.0,12288.0,0.41155113164927515,0.41159445504651593,0.40607497920393293,1.013485569724285,separated slower,0.9998947425148478,sample ranges overlap,authored-u64-carrier,0.8006587819557626,separated faster,"[0.41142529021905616,0.4116711985554334,0.41155113164927515]","[0.41148743840166996,0.41159445504651593,0.41186923361972383]","[0.4064787181541201,0.40607497920393293,0.40590263551581074]"
gnr-avx2,avx2,composition/avx2/local/k31/h0/u32/all,8192.0,31744.0,0.42806232692830687,0.42952081723515945,0.3664964729961934,1.1679848469721914,separated slower,0.9966043780689352,sample ranges overlap,authored-u64-carrier,0.9736861717822721,separated faster,"[0.4301754534620784,0.42763351871923694,0.42806232692830687]","[0.4291849345792993,0.42952081723515945,0.4296324609210966]","[0.36675149965124626,0.3664744300964131,0.3664964729961934]"
gnr-avx2,avx2,composition/avx2/local/k31/h0/u32/prefilter75,8192.0,31744.0,0.43715957458429877,0.43769670018553564,0.4493669529808739,0.9728342764958625,separated faster,0.9987728360734518,sample ranges overlap,authored-u64-carrier,0.8161544114456144,separated faster,"[0.43766389457510807,0.4368612456275871,0.43715957458429877]","[0.43779812241186167,0.4374074493442433,0.43769670018553564]","[0.4493669529808739,0.4500182446526327,0.4492582865099365]"
gnr-avx2,avx2,composition/avx2/local/k5/h0/u8/all,8192.0,5120.0,0.32305156610615,0.32412628698397417,0.1895457585417146,1.704346056548946,separated slower,0.9966842526478659,separated faster,dense32-authored,0.5446985506929978,separated faster,"[0.32305303544273417,0.3229986238394407,0.32305156610615]","[0.3241452100426796,0.32412628698397417,0.32388678262405574]","[0.18955544293686732,0.18950410120152686,0.1895457585417146]"
gnr-avx2,avx2,composition/avx2/local/k5/h0/u8/prefilter75,8192.0,5120.0,0.32293818857807804,0.32352569322044566,0.21679930304945552,1.4895720790412803,separated slower,0.9981840556880677,separated faster,dense32-authored,0.4872808710460295,separated faster,"[0.3229211279633598,0.32293818857807804,0.32296334106196845]","[0.3233313713953821,0.32360846006580246,0.32352569322044566]","[0.2166901495454138,0.21679930304945552,0.21686687944311198]"
gnr-avx2,avx2,composition/avx2/local/k56/h0/u64/all,8192.0,57344.0,0.24253362685529656,0.24254142244512786,0.30192617172545194,0.8032878550052881,separated faster,0.999967858727995,sample ranges overlap,authored-u64-carrier,0.5181266048475484,separated faster,"[0.24255887640636994,0.24253362685529656,0.24250444253426437]","[0.24246615470729213,0.24254142244512786,0.2425468936261899]","[0.30192617172545194,0.30201857720701636,0.3017804973705662]"
gnr-avx2,avx2,composition/avx2/local/k56/h0/u64/prefilter75,8192.0,57344.0,0.2672108390293078,0.3499253902788783,0.3517801930330617,0.7595960327538802,separated faster,0.7636223219365422,separated faster,authored-u64-carrier,0.4862534646800615,separated faster,"[0.267308342612377,0.26713469616145885,0.2672108390293078]","[0.3497835315333271,0.3500878619747814,0.3499253902788783]","[0.3517801930330617,0.3521168207955291,0.3517759370019564]"
gnr-avx2,avx2,composition/avx2/local/k60/h8/u64/all,8192.0,61440.0,0.5063703925861665,0.5060136071894917,0.4293575031188761,1.1793677504360924,separated slower,1.0007050905185266,sample ranges overlap,authored-u64-carrier,0.9400942578977809,separated faster,"[0.5066449812866802,0.5059888065181783,0.5063703925861665]","[0.5060136071894917,0.5059166991707261,0.506149966305669]","[0.4293575031188761,0.4293301763862043,0.42936752564769687]"
gnr-avx2,avx2,composition/avx2/local/k60/h8/u64/prefilter75,8192.0,61440.0,0.5305061857374251,0.6217764883109219,0.47870876325432876,1.1082023694969991,separated slower,0.8532104312573223,separated faster,authored-u64-carrier,0.834767272768081,separated faster,"[0.5310580092270412,0.530494730200096,0.5305061857374251]","[0.6217384671381319,0.6217764883109219,0.6217813575064148]","[0.47893035150037283,0.47834588327029537,0.47870876325432876]"
gnr-avx2,avx2,composition/avx2/local/k64/h0/u64/all,8192.0,65536.0,0.21077253182693934,0.21046896741091214,0.24503345138463883,0.8601786027005809,separated faster,1.0014423238720724,separated slower,authored-u64-carrier,0.45632187262624424,separated faster,"[0.21077253182693934,0.21076329344854508,0.21084204848873744]","[0.21046219715840447,0.21046896741091214,0.21057318613859993]","[0.24464860576782646,0.24503345138463883,0.24532993878337925]"
gnr-avx2,avx2,composition/avx2/local/k64/h0/u64/prefilter75,8192.0,65536.0,0.23665556019783737,0.31297313889762485,0.3098055815860413,0.7638841075305539,separated faster,0.7561529434487624,separated faster,authored-u64-carrier,0.40893412522917993,separated faster,"[0.2371907555840326,0.2364637442775841,0.23665556019783737]","[0.3129874540839747,0.31297313889762485,0.31290218892857347]","[0.30976341412103503,0.3098055815860413,0.3098123587634329]"
gnr-avx2,avx2,composition/avx2/local/k7/h0/u8/all,8192.0,7168.0,0.32446439623604245,0.3237273897216942,0.19197089601755754,1.6901749325916942,separated slower,1.0022766269946508,separated slower,dense32-authored,0.5405114522971284,separated faster,"[0.3245352062829366,0.3240125584945988,0.32446439623604245]","[0.32380408691936075,0.3237273897216942,0.32366386736085384]","[0.19197089601755754,0.1919971139939176,0.19195462058503493]"
gnr-avx2,avx2,composition/avx2/local/k7/h0/u8/prefilter75,8192.0,7168.0,0.32452978302230084,0.3244207635816417,0.2193817214487302,1.4792927180952216,separated slower,1.0003360433514044,sample ranges overlap,dense32-authored,0.48549326641796536,separated faster,"[0.32452978302230084,0.32462310452727294,0.32439551109103376]","[0.3244203000529016,0.3250091284275367,0.3244207635816417]","[0.2193699567696005,0.21950273555452157,0.2193817214487302]"
gnr-avx2,avx2,composition/avx2/striped/k12/h0/u16/all,8192.0,12288.0,0.1364006733251878,0.1358840735359905,0.16504746352765276,0.8264330175685168,separated faster,1.003801768490996,separated slower,authored-u64-carrier,0.6214358622052388,separated faster,"[0.13644537407524185,0.13636481508949796,0.1364006733251878]","[0.13597502062748765,0.1358840735359905,0.13582823424300824]","[0.16504746352765276,0.16500968247927128,0.165131961049126]"
gnr-avx2,avx2,composition/avx2/striped/k12/h0/u16/prefilter75,8192.0,12288.0,0.14199161788829678,0.141573033548598,0.26298250473632895,0.5399280002700566,separated faster,1.0029566671646908,separated slower,authored-u64-carrier,0.4035547948873588,separated faster,"[0.14211543902888282,0.14199161788829678,0.14192269892562773]","[0.14152334655296012,0.1415912938316123,0.141573033548598]","[0.2628611353658806,0.26298250473632895,0.2631365117216529]"
gnr-avx512,avx2,composition/avx2/local/k12/h0/u16/all,8192.0,12288.0,0.3103189566625931,0.3116909681227733,0.1959756296391684,1.5834568677439864,separated slower,0.995598167414207,separated faster,authored-u64-carrier,1.1567708448597993,separated slower,"[0.3103189566625931,0.3103416146055782,0.3102719172061723]","[0.311854998946344,0.3116909681227733,0.3116551470888664]","[0.1959756296391684,0.1959318533436031,0.1961112773266051]"
gnr-avx512,avx2,composition/avx2/local/k12/h0/u16/prefilter75,8192.0,12288.0,0.29631771143909713,0.29657617036044426,0.21240947411965685,1.395030577930682,separated slower,0.9991285243145698,sample ranges overlap,authored-u64-carrier,0.9869955675007874,separated faster,"[0.2965496344455625,0.29631771143909713,0.29602300638980883]","[0.29653772887027946,0.29682139088137205,0.29657617036044426]","[0.21251102251064558,0.21240947411965685,0.2123703050936601]"
gnr-avx512,avx2,composition/avx2/local/k31/h0/u32/all,8192.0,31744.0,0.2663598518608087,0.26366415498937956,0.2610436654060244,1.0203651233846855,separated slower,1.0102239793328665,separated slower,authored-u64-carrier,0.7567306109698236,separated faster,"[0.2663598518608087,0.2662014459623965,0.2693687645163255]","[0.26366415498937956,0.26345854537640084,0.26367293571703704]","[0.2610436654060244,0.26108302647315473,0.2610015612560631]"
gnr-avx512,avx2,composition/avx2/local/k31/h0/u32/prefilter75,8192.0,31744.0,0.27782945528432296,0.280800478448109,0.27163507030270706,1.022804069351991,separated slower,0.989419451205333,separated faster,authored-u64-carrier,0.7857860709363009,separated faster,"[0.27782945528432296,0.2779833311577509,0.27777241320621704]","[0.28231549714885307,0.280800478448109,0.28059855486523966]","[0.27163507030270706,0.27180126865115195,0.27160117194749867]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/all,8192.0,5120.0,0.17998393319722872,0.18012441276030092,0.13999706152748012,1.2856265069670734,separated slower,0.9992200970378228,separated faster,dense32-authored,0.2777314071453253,separated faster,"[0.17999178823107684,0.1799231896032937,0.17998393319722872]","[0.18016684927603807,0.18002005217464837,0.18012441276030092]","[0.13999706152748012,0.1400232366174643,0.13990164361139018]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/prefilter75,8192.0,5120.0,0.1801305399967343,0.18014763990865926,0.148422110249467,1.2136368341210886,separated slower,0.9999050783461075,sample ranges overlap,dense32-authored,0.2913557093182687,separated faster,"[0.1801305399967343,0.18013496675063534,0.18005170345617336]","[0.18014763990865926,0.18011505949076803,0.18025343503818975]","[0.14850431162210712,0.14839974414220183,0.148422110249467]"
gnr-avx512,avx2,composition/avx2/local/k56/h0/u64/all,8192.0,57344.0,0.2425293026573256,0.2424857263056095,0.27885460481656377,0.8697338988426113,separated faster,1.0001797068733902,sample ranges overlap,authored-u64-carrier,0.5604742763037056,separated faster,"[0.2424906113993803,0.24257060186025095,0.2425293026573256]","[0.2424783325049262,0.2424857263056095,0.24249282969755379]","[0.27885460481656377,0.2789083385772305,0.2788210800988318]"
gnr-avx512,avx2,composition/avx2/local/k56/h0/u64/prefilter75,8192.0,57344.0,0.26723648847589826,0.26780930747992016,0.29380760829003055,0.909562859965482,separated faster,0.9978610937408706,separated faster,authored-u64-carrier,0.567544814767698,separated faster,"[0.26717042008297515,0.2673731876275287,0.26723648847589826]","[0.2677302844561549,0.26780930747992016,0.2681825007805769]","[0.29363024224520134,0.29380760829003055,0.2940908581416503]"
gnr-avx512,avx2,composition/avx2/local/k60/h8/u64/all,8192.0,61440.0,0.38771170490450646,0.387471341059926,0.2961658988937269,1.3091031288636943,separated slower,1.0006203396718916,sample ranges overlap,authored-u64-carrier,0.9546063173367857,separated faster,"[0.3877372124097367,0.38742029874339784,0.38771170490450646]","[0.3876461900292491,0.387471341059926,0.3874061961663307]","[0.2961658988937269,0.296184226391376,0.2958342665408286]"
gnr-avx512,avx2,composition/avx2/local/k60/h8/u64/prefilter75,8192.0,61440.0,0.4175290798525303,0.43809916108672187,0.30453228895163803,1.3710502793969312,separated slower,0.9530469741526857,separated faster,authored-u64-carrier,1.0062515583228444,separated slower,"[0.4171868807880886,0.41760488848338767,0.4175290798525303]","[0.4382368353150575,0.43809916108672187,0.43799848863734964]","[0.30496546392610707,0.30453228895163803,0.30422414691520694]"
gnr-avx512,avx2,composition/avx2/local/k64/h0/u64/all,8192.0,65536.0,0.21055870413236205,0.2108693941262367,0.22165324385760918,0.9499464139023641,separated faster,0.9985266235758772,separated faster,authored-u64-carrier,0.5047486110851613,separated faster,"[0.21056319481236332,0.2105517475883804,0.21055870413236205]","[0.21086929368982948,0.2108693941262367,0.21093951877043673]","[0.22163692172923544,0.22167330218649028,0.22165324385760918]"
gnr-avx512,avx2,composition/avx2/local/k64/h0/u64/prefilter75,8192.0,65536.0,0.23472433137463117,0.23685234851609038,0.23363990834089582,1.0046414289469465,separated slower,0.9910154273124522,separated faster,authored-u64-carrier,0.5419713881212325,separated faster,"[0.23499248968595515,0.23472433137463117,0.2346047468086968]","[0.2368666202915117,0.23685234851609038,0.23675563392048407]","[0.23374411891076352,0.233599227507043,0.23363990834089582]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/all,8192.0,7168.0,0.18042827990438565,0.18068182154761692,0.1401538221457121,1.287358968468244,separated slower,0.9985967506799546,separated faster,dense32-authored,0.2800371661153412,separated faster,"[0.18042827990438565,0.18049711732429732,0.18031384814160367]","[0.18068182154761692,0.18062110067268902,0.1808256117137059]","[0.14007672334949753,0.1401538221457121,0.14019742178515748]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/prefilter75,8192.0,7168.0,0.18060764799714768,0.18075759555129067,0.15163659403447902,1.1910558209720883,separated slower,0.9991704494979274,sample ranges overlap,dense32-authored,0.2888425162603946,separated faster,"[0.18050235467266149,0.18060764799714768,0.18064608255221662]","[0.18081653288684668,0.18075759555129067,0.1806358529558036]","[0.15168585568211615,0.1515958689492909,0.15163659403447902]"
gnr-avx512,avx2,composition/avx2/striped/k12/h0/u16/all,8192.0,12288.0,0.1262705036433436,0.12585278706877037,0.16250058077029844,0.7770464760481834,separated faster,1.0033190887885937,separated slower,authored-u64-carrier,0.5612979516403187,separated faster,"[0.12650470946865655,0.12626890407427427,0.1262705036433436]","[0.12588104588922078,0.12585278706877037,0.12580908328981827]","[0.16258650608103462,0.16250058077029844,0.16234562211183917]"
gnr-avx512,avx2,composition/avx2/striped/k12/h0/u16/prefilter75,8192.0,12288.0,0.13261224688181822,0.13210885069561148,0.178914896345614,0.7412029383268798,separated faster,1.0038104652607007,separated slower,authored-u64-carrier,0.5523272572894896,separated faster,"[0.13261224688181822,0.1326568569595206,0.1324770093706466]","[0.13210885069561148,0.13213102070516716,0.13208099663265405]","[0.178914896345614,0.1790285750427203,0.17887345795331724]"
gnr-avx512,avx512,composition/avx512/local/k12/h0/u16/all,8192.0,12288.0,0.35146914325010004,0.3492831528996882,0.1955147908777236,1.7976601241893326,separated slower,1.0062585049758745,separated slower,authored-u64-carrier,1.3239161209211843,separated slower,"[0.3514496883465407,0.35146914325010004,0.35150495567621326]","[0.3492292690017958,0.3492831528996882,0.34936293931983603]","[0.19563756070688873,0.19547337949395902,0.1955147908777236]"
